Changed database context to 'adventureworks'.
Category                                           Subcategory                                        SubcatCount
-------------------------------------------------- -------------------------------------------------- -----------
Accessories                                        Bike Racks                                                   6
Accessories                                        Bottles and Cages                                            6
Accessories                                        Cleaners                                                     6
Accessories                                        Helmets                                                      6
Accessories                                        Hydration Packs                                              6
Accessories                                        Tires and Tubes                                              6
Bikes                                              Mountain Bikes                                               3
Bikes                                              Road Bikes                                                   3
Bikes                                              Touring Bikes                                                3
Clothing                                           Caps                                                         6
Clothing                                           Gloves                                                       6
Clothing                                           Jerseys                                                      6
Clothing                                           Shorts                                                       6
Clothing                                           Socks                                                        6
Clothing                                           Vests                                                        6
Components                                         Bottom Brackets                                             11
Components                                         Brakes                                                      11
Components                                         Chains                                                      11
Components                                         Cranksets                                                   11
Components                                         Derailleurs                                                 11
Components                                         Handlebars                                                  11
Components                                         Mountain Frames                                             11
Components                                         Pedals                                                      11
Components                                         Road Frames                                                 11
Components                                         Saddles                                                     11
Components                                         Touring Frames                                              11

(26 rows affected)
