Changed database context to 'adventureworks'.
SalesOrderID OrderDate               CustomerID 
------------ ----------------------- -----------
       71774 2008-06-01 00:00:00.000       29847
       71776 2008-06-01 00:00:00.000       30072
       71780 2008-06-01 00:00:00.000       30113
       71782 2008-06-01 00:00:00.000       29485
       71783 2008-06-01 00:00:00.000       29957
       71784 2008-06-01 00:00:00.000       29736
       71796 2008-06-01 00:00:00.000       29660
       71797 2008-06-01 00:00:00.000       29796
       71815 2008-06-01 00:00:00.000       30089
       71816 2008-06-01 00:00:00.000       30027
       71831 2008-06-01 00:00:00.000       30019
       71832 2008-06-01 00:00:00.000       29922
       71845 2008-06-01 00:00:00.000       29938
       71846 2008-06-01 00:00:00.000       30102
       71856 2008-06-01 00:00:00.000       30033
       71858 2008-06-01 00:00:00.000       29653
       71863 2008-06-01 00:00:00.000       29975
       71867 2008-06-01 00:00:00.000       29644
       71885 2008-06-01 00:00:00.000       29612
       71895 2008-06-01 00:00:00.000       29584
       71897 2008-06-01 00:00:00.000       29877
       71898 2008-06-01 00:00:00.000       29932
       71899 2008-06-01 00:00:00.000       29568
       71902 2008-06-01 00:00:00.000       29929
       71915 2008-06-01 00:00:00.000       29638
       71917 2008-06-01 00:00:00.000       30025
       71920 2008-06-01 00:00:00.000       29982
       71923 2008-06-01 00:00:00.000       29781
       71935 2008-06-01 00:00:00.000       29531
       71936 2008-06-01 00:00:00.000       30050
       71938 2008-06-01 00:00:00.000       29546
       71946 2008-06-01 00:00:00.000       29741

(32 rows affected)
