Changed database context to 'adventureworks'.
Name                                               SizeType   
-------------------------------------------------- -----------
HL Road Frame - Black, 58                          Numeric    
HL Road Frame - Red, 58                            Numeric    
Sport-100 Helmet, Red                              Non-Numeric
Sport-100 Helmet, Black                            Non-Numeric
Mountain Bike Socks, M                             Non-Numeric
Mountain Bike Socks, L                             Non-Numeric
Sport-100 Helmet, Blue                             Non-Numeric
AWC Logo Cap                                       Non-Numeric
Long-Sleeve Logo Jersey, S                         Non-Numeric
Long-Sleeve Logo Jersey, M                         Non-Numeric
Long-Sleeve Logo Jersey, L                         Non-Numeric
Long-Sleeve Logo Jersey, XL                        Non-Numeric
HL Road Frame - Red, 62                            Numeric    
HL Road Frame - Red, 44                            Numeric    
HL Road Frame - Red, 48                            Numeric    
HL Road Frame - Red, 52                            Numeric    
HL Road Frame - Red, 56                            Numeric    
LL Road Frame - Black, 58                          Numeric    
LL Road Frame - Black, 60                          Numeric    
LL Road Frame - Black, 62                          Numeric    
LL Road Frame - Red, 44                            Numeric    
LL Road Frame - Red, 48                            Numeric    
LL Road Frame - Red, 52                            Numeric    
LL Road Frame - Red, 58                            Numeric    
LL Road Frame - Red, 60                            Numeric    
LL Road Frame - Red, 62                            Numeric    
ML Road Frame - Red, 44                            Numeric    
ML Road Frame - Red, 48                            Numeric    
ML Road Frame - Red, 52                            Numeric    
ML Road Frame - Red, 58                            Numeric    
ML Road Frame - Red, 60                            Numeric    
LL Road Frame - Black, 44                          Numeric    
LL Road Frame - Black, 48                          Numeric    
LL Road Frame - Black, 52                          Numeric    
HL Mountain Frame - Silver, 42                     Numeric    
HL Mountain Frame - Silver, 44                     Numeric    
HL Mountain Frame - Silver, 48                     Numeric    
HL Mountain Frame - Silver, 46                     Numeric    
HL Mountain Frame - Black, 42                      Numeric    
HL Mountain Frame - Black, 44                      Numeric    
HL Mountain Frame - Black, 48                      Numeric    
HL Mountain Frame - Black, 46                      Numeric    
HL Mountain Frame - Black, 38                      Numeric    
HL Mountain Frame - Silver, 38                     Numeric    
Road-150 Red, 62                                   Numeric    
Road-150 Red, 44                                   Numeric    
Road-150 Red, 48                                   Numeric    
Road-150 Red, 52                                   Numeric    
Road-150 Red, 56                                   Numeric    
Road-450 Red, 58                                   Numeric    
Road-450 Red, 60                                   Numeric    
Road-450 Red, 44                                   Numeric    
Road-450 Red, 48                                   Numeric    
Road-450 Red, 52                                   Numeric    
Road-650 Red, 58                                   Numeric    
Road-650 Red, 60                                   Numeric    
Road-650 Red, 62                                   Numeric    
Road-650 Red, 44                                   Numeric    
Road-650 Red, 48                                   Numeric    
Road-650 Red, 52                                   Numeric    
Road-650 Black, 58                                 Numeric    
Road-650 Black, 60                                 Numeric    
Road-650 Black, 62                                 Numeric    
Road-650 Black, 44                                 Numeric    
Road-650 Black, 48                                 Numeric    
Road-650 Black, 52                                 Numeric    
Mountain-100 Silver, 38                            Numeric    
Mountain-100 Silver, 42                            Numeric    
Mountain-100 Silver, 44                            Numeric    
Mountain-100 Silver, 48                            Numeric    
Mountain-100 Black, 38                             Numeric    
Mountain-100 Black, 42                             Numeric    
Mountain-100 Black, 44                             Numeric    
Mountain-100 Black, 48                             Numeric    
Mountain-200 Silver, 38                            Numeric    
Mountain-200 Silver, 42                            Numeric    
Mountain-200 Silver, 46                            Numeric    
Mountain-200 Black, 38                             Numeric    
Mountain-200 Black, 42                             Numeric    
Mountain-200 Black, 46                             Numeric    
Mountain-300 Black, 38                             Numeric    
Mountain-300 Black, 40                             Numeric    
Mountain-300 Black, 44                             Numeric    
Mountain-300 Black, 48                             Numeric    
Road-250 Red, 44                                   Numeric    
Road-250 Red, 48                                   Numeric    
Road-250 Red, 52                                   Numeric    
Road-250 Red, 58                                   Numeric    
Road-250 Black, 44                                 Numeric    
Road-250 Black, 48                                 Numeric    
Road-250 Black, 52                                 Numeric    
Road-250 Black, 58                                 Numeric    
Road-550-W Yellow, 38                              Numeric    
Road-550-W Yellow, 40                              Numeric    
Road-550-W Yellow, 42                              Numeric    
Road-550-W Yellow, 44                              Numeric    
Road-550-W Yellow, 48                              Numeric    
LL Fork                                            Non-Numeric
ML Fork                                            Non-Numeric
HL Fork                                            Non-Numeric
LL Headset                                         Non-Numeric
ML Headset                                         Non-Numeric
HL Headset                                         Non-Numeric
LL Mountain Handlebars                             Non-Numeric
ML Mountain Handlebars                             Non-Numeric
HL Mountain Handlebars                             Non-Numeric
LL Road Handlebars                                 Non-Numeric
ML Road Handlebars                                 Non-Numeric
HL Road Handlebars                                 Non-Numeric
ML Mountain Frame - Black, 38                      Numeric    
LL Mountain Front Wheel                            Non-Numeric
ML Mountain Front Wheel                            Non-Numeric
HL Mountain Front Wheel                            Non-Numeric
LL Road Front Wheel                                Non-Numeric
ML Road Front Wheel                                Non-Numeric
HL Road Front Wheel                                Non-Numeric
Touring Front Wheel                                Non-Numeric
ML Road Frame-W - Yellow, 38                       Numeric    
LL Mountain Rear Wheel                             Non-Numeric
ML Mountain Rear Wheel                             Non-Numeric
HL Mountain Rear Wheel                             Non-Numeric
LL Road Rear Wheel                                 Non-Numeric
ML Road Rear Wheel                                 Non-Numeric
HL Road Rear Wheel                                 Non-Numeric
Touring Rear Wheel                                 Non-Numeric
ML Mountain Frame - Black, 40                      Numeric    
ML Mountain Frame - Black, 44                      Numeric    
ML Mountain Frame - Black, 48                      Numeric    
ML Road Frame-W - Yellow, 40                       Numeric    
ML Road Frame-W - Yellow, 42                       Numeric    
ML Road Frame-W - Yellow, 44                       Numeric    
ML Road Frame-W - Yellow, 48                       Numeric    
HL Road Frame - Black, 62                          Numeric    
HL Road Frame - Black, 44                          Numeric    
HL Road Frame - Black, 48                          Numeric    
HL Road Frame - Black, 52                          Numeric    
Men's Sports Shorts, S                             Non-Numeric
Touring-Panniers, Large                            Non-Numeric
Cable Lock                                         Non-Numeric
Minipump                                           Non-Numeric
Mountain Pump                                      Non-Numeric
Taillights - Battery-Powered                       Non-Numeric
Headlights - Dual-Beam                             Non-Numeric
Headlights - Weatherproof                          Non-Numeric
Men's Sports Shorts, M                             Non-Numeric
Men's Sports Shorts, L                             Non-Numeric
Men's Sports Shorts, XL                            Non-Numeric
Women's Tights, S                                  Non-Numeric
Women's Tights, M                                  Non-Numeric
Women's Tights, L                                  Non-Numeric
Men's Bib-Shorts, S                                Non-Numeric
Men's Bib-Shorts, M                                Non-Numeric
Men's Bib-Shorts, L                                Non-Numeric
Half-Finger Gloves, S                              Non-Numeric
Half-Finger Gloves, M                              Non-Numeric
Half-Finger Gloves, L                              Non-Numeric
Full-Finger Gloves, S                              Non-Numeric
Full-Finger Gloves, M                              Non-Numeric
Full-Finger Gloves, L                              Non-Numeric
Classic Vest, S                                    Non-Numeric
Classic Vest, M                                    Non-Numeric
Classic Vest, L                                    Non-Numeric
Women's Mountain Shorts, S                         Non-Numeric
Women's Mountain Shorts, M                         Non-Numeric
Women's Mountain Shorts, L                         Non-Numeric
Water Bottle - 30 oz.                              Non-Numeric
Mountain Bottle Cage                               Non-Numeric
Road Bottle Cage                                   Non-Numeric
Patch Kit/8 Patches                                Non-Numeric
Racing Socks, M                                    Non-Numeric
Racing Socks, L                                    Non-Numeric
Hitch Rack - 4-Bike                                Non-Numeric
Bike Wash - Dissolver                              Non-Numeric
Fender Set - Mountain                              Non-Numeric
All-Purpose Bike Stand                             Non-Numeric
Hydration Pack - 70 oz.                            Numeric    
Short-Sleeve Classic Jersey, S                     Non-Numeric
Short-Sleeve Classic Jersey, M                     Non-Numeric
Short-Sleeve Classic Jersey, L                     Non-Numeric
Short-Sleeve Classic Jersey, XL                    Non-Numeric
HL Touring Frame - Yellow, 60                      Numeric    
LL Touring Frame - Yellow, 62                      Numeric    
HL Touring Frame - Yellow, 46                      Numeric    
HL Touring Frame - Yellow, 50                      Numeric    
HL Touring Frame - Yellow, 54                      Numeric    
HL Touring Frame - Blue, 46                        Numeric    
HL Touring Frame - Blue, 50                        Numeric    
HL Touring Frame - Blue, 54                        Numeric    
HL Touring Frame - Blue, 60                        Numeric    
Rear Derailleur                                    Non-Numeric
LL Touring Frame - Blue, 50                        Numeric    
LL Touring Frame - Blue, 54                        Numeric    
LL Touring Frame - Blue, 58                        Numeric    
LL Touring Frame - Blue, 62                        Numeric    
LL Touring Frame - Yellow, 44                      Numeric    
LL Touring Frame - Yellow, 50                      Numeric    
LL Touring Frame - Yellow, 54                      Numeric    
LL Touring Frame - Yellow, 58                      Numeric    
LL Touring Frame - Blue, 44                        Numeric    
ML Mountain Frame-W - Silver, 40                   Numeric    
ML Mountain Frame-W - Silver, 42                   Numeric    
ML Mountain Frame-W - Silver, 46                   Numeric    
Rear Brakes                                        Non-Numeric
LL Mountain Seat/Saddle                            Non-Numeric
ML Mountain Seat/Saddle                            Non-Numeric
HL Mountain Seat/Saddle                            Non-Numeric
