Changed database context to 'adventureworks'.
Salesperson                                                                                                                                                                                                                                                      Customers  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -----------
adventure-works\david8                                                                                                                                                                                                                                                    73
adventure-works\garrett1                                                                                                                                                                                                                                                  78
adventure-works\jae0                                                                                                                                                                                                                                                      78
adventure-works\jillian0                                                                                                                                                                                                                                                 148
adventure-works\josé1                                                                                                                                                                                                                                                    142
adventure-works\linda3                                                                                                                                                                                                                                                    71
adventure-works\michael9                                                                                                                                                                                                                                                  32
adventure-works\pamela0                                                                                                                                                                                                                                                   74
adventure-works\shu0                                                                                                                                                                                                                                                     151

(9 rows affected)
