Changed database context to 'adventureworks'.
Salesperson                                                                                                                                                                                                                                                      SalesRevenue         
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ---------------------
adventure-works\jae0                                                                                                                                                                                                                                                       518096.4336
adventure-works\linda3                                                                                                                                                                                                                                                     209219.8286
adventure-works\shu0                                                                                                                                                                                                                                                       138116.8549
adventure-works\michael9                                                                                                                                                                                                                                                         .0000
adventure-works\pamela0                                                                                                                                                                                                                                                          .0000
adventure-works\jillian0                                                                                                                                                                                                                                                         .0000
adventure-works\josé1                                                                                                                                                                                                                                                            .0000
adventure-works\david8                                                                                                                                                                                                                                                           .0000
adventure-works\garrett1                                                                                                                                                                                                                                                         .0000

(9 rows affected)
